-11.8615	0.521364	1.00617	0.00018333
-3.97164	0.524989	0.991188	0.000185083
-10.8347	0.50834	0.972615	0.000173976
-8.55523	0.50604	0.997867	0.000176542
-12.6006	0.50025	1.01645	0.000175652
-7.95225	0.481117	1.00372	0.000168419
-12.0927	0.490667	1.02216	0.000175361
-2.41549	0.485604	1.00047	0.000168622
-8.42557	0.539995	0.996296	0.000192026
-8.45879	0.537221	1.00957	0.000194026
-9.67886	0.572412	1.03297	0.000211888
-8.68846	0.577888	0.974401	0.000204915
-11.2495	0.618424	1.01193	0.000228214
-9.76306	0.621797	1.00242	0.000227738
-7.62777	0.599453	0.993428	0.000218429
-9.91914	0.623272	0.985822	0.000232107
