-70.6489	7.96403
-36.3066	7.96128
-72.9279	7.88286
-13.7437	8.01725
-64.4773	8.02069
-3.13704	8.01505
-108.083	7.94121
-44.4273	7.87425
-120.875	7.8447
-2.09709	7.76676
-86.1297	7.89147
25.5953	7.88675
-72.2179	7.87085
-18.1427	7.96144
-32.1417	7.78376
-0.00835055	7.99829
-67.8126	7.7023
-5.30555	7.91892
-106.473	7.91125
-39.7239	7.92462
-79.7977	8.12422
-49.0115	8.15143
-29.9229	7.88804
-25.0982	8.06984
-67.6748	8.0283
-2.84863	7.87996
-82.0378	7.94003
-0.901939	7.99882
-56.7874	7.95343
6.13057	7.92705
-61.0319	8.04377
-43.6666	7.94445
