-10.9317	8.68492
-82.0443	8.80507
-90.2646	8.70476
-39.6255	8.51391
-88.1481	8.75605
-55.7663	8.93417
-83.1677	8.89157
-45.955	8.63661
-77.2568	8.64784
-36.4523	8.57508
-79.25	8.84252
-50.3501	8.68126
-78	8.89958
-23.4412	8.81296
-58.1672	8.61356
-16.1631	8.68036
-43.2863	8.55137
-12.7334	8.5369
-44.0311	8.48158
-43.1283	8.51312
-85.7617	8.62655
-19.5748	8.62351
-78.0511	8.64797
-15.508	8.66456
-58.0608	8.81529
-25.2885	8.48487
-65.5425	8.91562
-53.9167	8.71291
-82.183	8.6186
-51.2005	8.78673
-48.1098	8.62206
-74.2321	8.47407
